Country,University,QS World ranking,Tuition Fee (USD),Language,Post Study Visa,Climate,Popular Courses,Acceptance Rate,Safety Index,"Monthly Living Cost (USD, excl. rent)"
France,Paris-Saclay University,73,8393,English,Yes,Mild,"Fashion, Arts, Business",13.8,54,1094
UK,Imperial College London,2,30627,English,Yes,Mild,"Law, Business, Engineering",13.9,56,1422.3
UK,University of Oxford,3,28792,English,Yes,Mild,"Law, Business, Engineering",17.5,56,1422.3
UK,University of Cambridge,5,30555,English,Yes,Mild,"Law, Business, Engineering",21,56,1422.3
UK,University College London (UCL),9,30253,English,Yes,Mild,"Law, Business, Engineering",14,56,1422.3
UK,University of Edinburgh,27,28433,English,Yes,Mild,"Law, Business, Engineering",14.1,56,1422.3
UK,University of Manchester,34,30233,English,Yes,Mild,"Law, Business, Engineering",14.2,56,1422.3
UK,Kingâ€™s College London,40,31016,English,Yes,Mild,"Law, Business, Engineering",14.3,56,1422.3
UK,London School of Economics (LSE),50,43897,English,Yes,Mild,"Law, Business, Engineering",14.4,56,1422.3
UK,University of Bristol,54,22612,English,Yes,Mild,"Law, Business, Engineering",14.5,56,1422.3
UK,University of Warwick,69,43425,English,Yes,Mild,"Law, Business, Engineering",14.6,56,1422.3
UK,University of Glasgow,78,42619,English,Yes,Mild,"Law, Business, Engineering",14.7,56,1422.3
UK,University of Birmingham,80,41870,English,Yes,Mild,"Law, Business, Engineering",14.8,56,1422.3
UK,University of Southampton,80,43483,English,Yes,Mild,"Law, Business, Engineering",14.9,56,1422.3
UK,University of Leeds,82,35787,English,Yes,Mild,"Law, Business, Engineering",15,56,1422.3
UK,Durham University,89,37159,English,Yes,Mild,"Law, Business, Engineering",15.1,56,1422.3
UK,University of St Andrews,104,32206,English,Yes,Mild,"Law, Business, Engineering",15.2,56,1422.3
UK,University of Sheffield,105,28226,English,Yes,Mild,"Law, Business, Engineering",15.3,56,1422.3
UK,University of Nottingham,108,34541,English,Yes,Mild,"Law, Business, Engineering",15.4,56,1422.3
UK,Queen Mary University of London,120,23152,English,Yes,Mild,"Law, Business, Engineering",15.5,56,1422.3
UK,Newcastle University,129,21585,English,Yes,Mild,"Law, Business, Engineering",15.6,56,1422.3
UK,Lancaster University,141,23943,English,Yes,Mild,"Law, Business, Engineering",15.7,56,1422.3
UK,University of Bath,150,43939,English,Yes,Mild,"Law, Business, Engineering",15.8,56,1422.3
UK,University of Liverpool,165,39457,English,Yes,Mild,"Law, Business, Engineering",15.9,56,1422.3
UK,University of Exeter,169,21021,English,Yes,Mild,"Law, Business, Engineering",16,56,1422.3
UK,University of Reading,172,31653,English,Yes,Mild,"Law, Business, Engineering",16.1,56,1422.3
UK,University of York,184,30805,English,Yes,Mild,"Law, Business, Engineering",16.2,56,1422.3
UK,Cardiff University,186,33417,English,Yes,Mild,"Law, Business, Engineering",16.3,56,1422.3
UK,Queenâ€™s University Belfast,206,40227,English,Yes,Mild,"Law, Business, Engineering",16.4,56,1422.3
UK,Loughborough University,224,27989,English,Yes,Mild,"Law, Business, Engineering",16.5,56,1422.3
UK,University of Aberdeen,236,29692,English,Yes,Mild,"Law, Business, Engineering",16.6,56,1422.3
UK,University of Sussex,246,32990,English,Yes,Mild,"Law, Business, Engineering",16.7,56,1422.3
UK,Heriotâ€‘Watt University,256,26873,English,Yes,Mild,"Law, Business, Engineering",16.8,56,1422.3
UK,University of Strathclyde,281,25675,English,Yes,Mild,"Law, Business, Engineering",16.9,56,1422.3
UK,University of Leicester,285,20161,English,Yes,Mild,"Law, Business, Engineering",17,56,1422.3
UK,University of Surrey,285,24297,English,Yes,Mild,"Law, Business, Engineering",17.1,56,1422.3
UK,Swansea University,298,20995,English,Yes,Mild,"Law, Business, Engineering",17.2,56,1422.3
UK,University of East Anglia,332,31534,English,Yes,Mild,"Law, Business, Engineering",17.3,56,1422.3
UK,Brunel University London,342,27629,English,Yes,Mild,"Law, Business, Engineering",17.4,56,1422.3
UK,"City, University of London",352,21016,English,Yes,Mild,"Law, Business, Engineering",17.5,56,1422.3
UK,University of Kent,380,44253,English,Yes,Mild,"Law, Business, Engineering",17.6,56,1422.3
UK,"Birkbeck, University of London",408,42823,English,Yes,Mild,"Law, Business, Engineering",17.7,56,1422.3
UK,Oxford Brookes University,416,44276,English,Yes,Mild,"Law, Business, Engineering",17.8,56,1422.3
UK,University of Dundee,418,43247,English,Yes,Mild,"Law, Business, Engineering",17.9,56,1422.3
UK,Aston University,423,44300,English,Yes,Mild,"Law, Business, Engineering",18,56,1422.3
UK,University of Stirling,452,28529,English,Yes,Mild,"Law, Business, Engineering",18.1,56,1422.3
UK,University of Essex,472,37262,English,Yes,Mild,"Law, Business, Engineering",18.2,56,1422.3
UK,Bangor University,474,29268,English,Yes,Mild,"Law, Business, Engineering",18.3,56,1422.3
UK,"Royal Holloway, University of London",477,41271,English,Yes,Mild,"Law, Business, Engineering",18.4,56,1422.3
